image,frame_id,image_time,matched_lux_time,lux,time_diff_ms
frame_000071_jpg.rf.pFVBOObdP3ep2e9wJPug.jpg,71,2026-03-29 20:11:14.256,2026-03-29 20:11:14.240,4.9950004,16.0
frame_000072_jpg.rf.gPWidpxLkb6gO3g7suJ4.jpg,72,2026-03-29 20:11:14.289,2026-03-29 20:11:14.240,4.9950004,49.0
frame_000073_jpg.rf.usoF9iFy5nUrNQ7d0MkT.jpg,73,2026-03-29 20:11:14.322,2026-03-29 20:11:14.240,4.9950004,82.0
frame_000074_jpg.rf.OabVtlJOOkhWstTodAg8.jpg,74,2026-03-29 20:11:14.356,2026-03-29 20:11:14.240,4.9950004,116.0
frame_000075_jpg.rf.avj4DVAsJv4N8n9omJ2k.jpg,75,2026-03-29 20:11:14.389,2026-03-29 20:11:14.240,4.9950004,149.0
frame_000076_jpg.rf.X55ZLUvjJyyUP1yWoemO.jpg,76,2026-03-29 20:11:14.422,2026-03-29 20:11:14.545,4.9950004,123.0
frame_000077_jpg.rf.t4C8q7W7wna8l0atl8QM.jpg,77,2026-03-29 20:11:14.455,2026-03-29 20:11:14.545,4.9950004,90.0
frame_000078_jpg.rf.mzdeMo2OYzHNnfH421YS.jpg,78,2026-03-29 20:11:14.489,2026-03-29 20:11:14.545,4.9950004,56.0
frame_000079_jpg.rf.6SruOavGzdpwZlH8Ocxw.jpg,79,2026-03-29 20:11:14.522,2026-03-29 20:11:14.545,4.9950004,23.0
frame_000080_jpg.rf.TgpOpIOyMZXLexLY3VRQ.jpg,80,2026-03-29 20:11:14.555,2026-03-29 20:11:14.545,4.9950004,10.0
frame_000081_jpg.rf.5YERZ3f3ep95fHprSAgu.jpg,81,2026-03-29 20:11:14.589,2026-03-29 20:11:14.545,4.9950004,44.0
frame_000082_jpg.rf.leTpUgWIzXJCbQLLWFKq.jpg,82,2026-03-29 20:11:14.622,2026-03-29 20:11:14.545,4.9950004,77.0
frame_000083_jpg.rf.ptKWkHCJFOW6d6xqkos2.jpg,83,2026-03-29 20:11:14.655,2026-03-29 20:11:14.545,4.9950004,110.0
frame_000084_jpg.rf.u3XSI9qp4iCtp3aZDnVA.jpg,84,2026-03-29 20:11:14.688,2026-03-29 20:11:14.545,4.9950004,143.0
frame_000085_jpg.rf.TDgZ5snEyzMbTqs5J8NG.jpg,85,2026-03-29 20:11:14.722,2026-03-29 20:11:14.850,4.9950004,128.0
frame_000086_jpg.rf.6dr7aRLPuYGKVAFth7BV.jpg,86,2026-03-29 20:11:14.755,2026-03-29 20:11:14.850,4.9950004,95.0
frame_000087_jpg.rf.Sf8smJLwUNgB9RW9sMlN.jpg,87,2026-03-29 20:11:14.788,2026-03-29 20:11:14.850,4.9950004,62.0
frame_000088_jpg.rf.caRwRalGreRz2MFjZBop.jpg,88,2026-03-29 20:11:14.822,2026-03-29 20:11:14.850,4.9950004,28.0
frame_000089_jpg.rf.SRYx6LHxHWquqkvO2Ria.jpg,89,2026-03-29 20:11:14.855,2026-03-29 20:11:14.850,4.9950004,5.0
frame_000090_jpg.rf.FOnIPZIR4wqlMNCzJsAH.jpg,90,2026-03-29 20:11:14.888,2026-03-29 20:11:14.850,4.9950004,38.0
frame_000299_jpg.rf.E0C4zAgRMmKOx98Ymice.jpg,299,2026-03-29 20:11:21.846,2026-03-29 20:11:21.834,4.9950004,12.0
frame_000300_jpg.rf.uZqC1hWsFf6oT60xNXmq.jpg,300,2026-03-29 20:11:21.880,2026-03-29 20:11:21.834,4.9950004,46.0
